# mu	 epsilon	 mse	 qfi	 cfi_det
2.36552099e+00	9.65490478e-02	7.00035872e-02	3.66536021e+01	2.57453336e+01
2.36551889e+00	9.68452161e-02	6.97841505e-02	3.66537239e+01	2.56596029e+01
2.36552199e+00	9.69617676e-02	6.96984398e-02	3.66536574e+01	2.56253701e+01
2.36552979e+00	9.69166639e-02	6.97132836e-02	3.66536908e+01	2.56468557e+01
2.36554181e+00	9.67260706e-02	6.98501321e-02	3.66537252e+01	2.57524106e+01
2.36555763e+00	9.67045366e-02	6.98811831e-02	3.66537182e+01	2.57351572e+01
2.36557686e+00	9.68351560e-02	6.95696887e-02	3.66537266e+01	2.56087745e+01
2.36558917e+00	9.68027135e-02	6.95914820e-02	3.66537321e+01	2.56471537e+01
2.36559525e+00	9.66235152e-02	6.97339230e-02	3.66536721e+01	2.56847699e+01
2.36559572e+00	9.66122367e-02	6.97403004e-02	3.66536632e+01	2.56809102e+01
2.36559115e+00	9.67520861e-02	6.96326634e-02	3.66537307e+01	2.56459789e+01
2.36558203e+00	9.70279506e-02	6.94275410e-02	3.66535909e+01	2.55513595e+01
2.36556882e+00	9.71262286e-02	6.95771824e-02	3.66534538e+01	2.55816320e+01
2.36556194e+00	9.70646788e-02	6.96247239e-02	3.66535450e+01	2.56084490e+01
2.36556074e+00	9.68592840e-02	6.97667914e-02	3.66537193e+01	2.56856833e+01
2.36556467e+00	9.65244287e-02	7.00227745e-02	3.66535731e+01	2.57647691e+01
2.36557320e+00	9.63730589e-02	7.01244927e-02	3.66533311e+01	2.57960229e+01
2.36557587e+00	9.63868261e-02	6.99000975e-02	3.66533577e+01	2.57381910e+01
2.36557328e+00	9.65492165e-02	6.99800971e-02	3.66536023e+01	2.57453778e+01
2.36556595e+00	9.68453680e-02	6.97850988e-02	3.66537239e+01	2.56617697e+01
2.36556435e+00	9.69619042e-02	6.96991162e-02	3.66536572e+01	2.56382331e+01
2.36556792e+00	9.69167869e-02	6.97323660e-02	3.66536907e+01	2.56411536e+01
2.36557612e+00	9.67261813e-02	6.96498035e-02	3.66537252e+01	2.56402048e+01
2.36557851e+00	9.67046362e-02	6.96648944e-02	3.66537183e+01	2.56434223e+01
2.36557565e+00	9.68352457e-02	6.97621016e-02	3.66537266e+01	2.56631502e+01
2.36556808e+00	9.68027942e-02	6.98165594e-02	3.66537321e+01	2.56740627e+01
2.36556627e+00	9.66235878e-02	6.99491997e-02	3.66536722e+01	2.57258365e+01
2.36556964e+00	9.66123021e-02	6.99567120e-02	3.66536633e+01	2.57299879e+01
2.36556768e+00	9.67521450e-02	6.98540127e-02	3.66537307e+01	2.56886909e+01
2.36557091e+00	9.70280036e-02	6.96485492e-02	3.66535908e+01	2.56073187e+01
2.36556881e+00	9.71262763e-02	6.95771474e-02	3.66534537e+01	2.55816183e+01
2.36557193e+00	9.70647217e-02	6.96214296e-02	3.66535449e+01	2.55967175e+01
2.36556973e+00	9.68593226e-02	6.97739382e-02	3.66537193e+01	2.56586327e+01
2.36556276e+00	9.65244634e-02	7.00240387e-02	3.66535732e+01	2.57646604e+01
2.36556148e+00	9.63730902e-02	7.01364929e-02	3.66533312e+01	2.58085085e+01
2.36556533e+00	9.63868542e-02	7.01249822e-02	3.66533577e+01	2.58046189e+01
2.36557379e+00	9.65492419e-02	6.99744759e-02	3.66536023e+01	2.57456011e+01
2.36557641e+00	9.68453908e-02	6.95621709e-02	3.66537239e+01	2.56058235e+01
